LENGTH	ENCODING_TYPE	MESSAGE_TYPE	SEND_TIME	RECIEVE_TIME	MESSAGE_SIZE
10	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.00754929194226861	0.004701249999925494	25368
10	EncodeType.CUSTOM	CHINESE_MESSAGE	0.008345166919752955	0.0063535410445183516	34928
20	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.011600458063185215	0.0076972919050604105	50708
20	EncodeType.CUSTOM	CHINESE_MESSAGE	0.013672209111973643	0.011406583013013005	69828
30	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.014532834058627486	0.010497957933694124	76048
30	EncodeType.CUSTOM	CHINESE_MESSAGE	0.01826345780864358	0.01752825011499226	104728
40	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.019063750049099326	0.014057416934520006	101388
40	EncodeType.CUSTOM	CHINESE_MESSAGE	0.024248958099633455	0.025598499923944473	139628
50	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.023835790809243917	0.017741167219355702	126728
50	EncodeType.CUSTOM	CHINESE_MESSAGE	0.030290500028058887	0.03432645881548524	174528
60	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.028668500017374754	0.021730916807428002	152068
60	EncodeType.CUSTOM	CHINESE_MESSAGE	0.03645812487229705	0.04465700010769069	209428
70	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.03416845784522593	0.027146541979163885	177408
70	EncodeType.CUSTOM	CHINESE_MESSAGE	0.04348866594955325	0.05687679210677743	244328
80	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.038180333096534014	0.030272791860625148	202748
80	EncodeType.CUSTOM	CHINESE_MESSAGE	0.048231083899736404	0.06783633306622505	279228
90	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.04269875003956258	0.03507862496189773	228088
90	EncodeType.CUSTOM	CHINESE_MESSAGE	0.056278084171935916	0.08248274982906878	314128
100	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.04783654096536338	0.03938783402554691	253429
100	EncodeType.CUSTOM	CHINESE_MESSAGE	0.06037424993701279	0.09557150001637638	349029
110	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.052158458856865764	0.04395683296024799	278769
110	EncodeType.CUSTOM	CHINESE_MESSAGE	0.06926408293657005	0.11472516716457903	383929
120	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.05868887482210994	0.05026870802976191	304109
120	EncodeType.CUSTOM	CHINESE_MESSAGE	0.07504258281551301	0.13144979206845164	418829
130	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.06280025001615286	0.05543437507003546	329449
130	EncodeType.CUSTOM	CHINESE_MESSAGE	0.08170495787635446	0.14809904200956225	453729
140	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.06850958289578557	0.06080687511712313	354789
140	EncodeType.CUSTOM	CHINESE_MESSAGE	0.0869115840177983	0.16689599980600178	488629
150	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.07592516695149243	0.06468833307735622	380129
150	EncodeType.CUSTOM	CHINESE_MESSAGE	0.09101650002412498	0.18124037492088974	523529
160	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.07560537499375641	0.0689949169754982	405469
160	EncodeType.CUSTOM	CHINESE_MESSAGE	0.09847633307799697	0.20317366695962846	558429
170	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.08030766597948968	0.07439712504856288	430809
170	EncodeType.CUSTOM	CHINESE_MESSAGE	0.10274937492795289	0.22320020804181695	593329
180	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.08528916700743139	0.0798680828884244	456149
180	EncodeType.CUSTOM	CHINESE_MESSAGE	0.1088221671525389	0.24606766598299146	628229
190	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.09003783296793699	0.08623070898465812	481489
190	EncodeType.CUSTOM	CHINESE_MESSAGE	0.11477687489241362	0.2688591671176255	663129
200	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.09442170802503824	0.09349899995140731	506829
200	EncodeType.CUSTOM	CHINESE_MESSAGE	0.12078950018621981	0.29590566689148545	698029
210	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.09941983385942876	0.09736566594801843	532169
210	EncodeType.CUSTOM	CHINESE_MESSAGE	0.1268557501025498	0.31884733377955854	732929
220	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.10400741593912244	0.10455283406190574	557509
220	EncodeType.CUSTOM	CHINESE_MESSAGE	0.13277841708622873	0.3496003330219537	767829
230	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.10989512503147125	0.10950037487782538	582849
230	EncodeType.CUSTOM	CHINESE_MESSAGE	0.13820995902642608	0.37254499993287027	802729
240	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.11381729203276336	0.12644045799970627	608189
240	EncodeType.CUSTOM	CHINESE_MESSAGE	0.15101254195906222	0.42081579100340605	837629
250	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.12332020909525454	0.13764841598458588	633529
250	EncodeType.CUSTOM	CHINESE_MESSAGE	0.15744029195047915	0.451880041975528	872529
260	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.12708741682581604	0.13911812519654632	658869
260	EncodeType.CUSTOM	CHINESE_MESSAGE	0.16211362485773861	0.4654727091547102	907429
270	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.1271745420526713	0.14147658296860754	684209
270	EncodeType.CUSTOM	CHINESE_MESSAGE	0.1629925409797579	0.495909292018041	942329
280	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.13197749992832541	0.15018483297899365	709549
280	EncodeType.CUSTOM	CHINESE_MESSAGE	0.17049920791760087	0.5310965420212597	977229
290	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.13662362494505942	0.1581556668970734	734889
290	EncodeType.CUSTOM	CHINESE_MESSAGE	0.17550587514415383	0.5634957919828594	1012129
300	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.1417335420846939	0.1628051248844713	760229
300	EncodeType.CUSTOM	CHINESE_MESSAGE	0.1810036669485271	0.600603458005935	1047029
310	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.14655750012025237	0.1837501667905599	785569
310	EncodeType.CUSTOM	CHINESE_MESSAGE	0.19764891685917974	0.6553405420854688	1081929
